day,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp,daily return,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,current_supply,daily excess return,volume,exclude_testing,exclude_training_and_testing,bm,size,illiq,capm beta,capm alpha,ivol,turnover,rvol,S Corwin Schultz,S Abdi Ranaldo,bid-ask,detrended turnover,standard deviation turnover,standard deviation volume,rel to high,max,volume shock 30,volume shock 60,r2_1,r7_2,r13_2,r22_2,r31_2,r30_14,r180_60,var_5
2019-03-19,1552953600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2019-03-19 01:00:00,,0,3,3,3,4,4,0,154850746.75,619402987.0,0.0,0.0,False,False,inf,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
2019-03-20,1553040000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2019-03-20 01:00:00,,0,25,22,24,24,28,0,11789802.4950833,902358246.882,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.6018929576821703,0.0,0.0,,0.0,,,,,,,,,,
2019-03-21,1553126400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2019-03-21 01:00:00,,0,71,46,48,51,79,0,11599708.3785784,1493943374.1895,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,
2019-03-22,1553212800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2019-03-22 01:00:00,,0,81,10,13,12,91,0,13748941.8520333,1658930676.4139,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-1.473461771074005,0.0,0.0,,0.0,,,,,,,,,,
2019-03-23,1553299200,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2019-03-23 01:00:00,,0,82,1,3,2,93,0,550000.0,1660030676.4139,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.8781429132063563,0.0,0.0,,0.0,,,,,,,,,,
2019-03-24,1553385600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2019-03-24 01:00:00,,0,96,14,15,20,113,0,337489256.40025,8409815804.4189,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,1.0633818389119791,0.0,0.0,,0.0,,,,,,,,,,
2019-03-25,1553472000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2019-03-25 01:00:00,,1455,1983,1887,1968,4490,4603,0,1176141.7455872,8447374675.5399,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,1.9059564094323789,0.0,0.0,,0.0,,,,,,,,,,
2019-03-26,1553558400,0.01968,0.01783,0.0185,271133568.52,4978500.36,0.01836,multiply,USDT,2019-03-26 01:00:00,inf,1589,2164,181,280,770,5373,13,522906.971122057,8447374675.5399,0.0,4978012.3180272,False,False,1.3952846686031898e-05,155093799.04291257,-9.810911015167232e-07,,,,0.0,,,0.151276972564053,0.151276972564053,-1.0956784997700844,0.0,1646322.8271145183,,0.0,,,,,,,,,,
2019-03-27,1553644800,0.02473,0.01656,0.01836,1835788020.68,41782535.35,0.02276,multiply,USDT,2019-03-27 01:00:00,0.23965141612200425,1733,2312,148,263,899,6272,5,299959.218898662,8447377673.46448,0.21515141612200425,41782535.3506768,False,False,1.2025237446048532e-05,192262315.84805158,-3.419059739382209e-08,,,,0.0005892967629072032,,0.03598184225012798,0.2050393828347015,0.12051061254241474,0.7124869617679925,0.00019489158538348153,13028221.496562876,1.0,0.21515141612200425,0.531511637002846,0.5799358740016526,1.0,,,,,,,
2019-03-28,1553731200,0.02379,0.02108,0.02276,895097649.74,20515638.13,0.02292,multiply,USDT,2019-03-28 01:00:00,0.007029876977152849,1790,2352,40,125,478,6750,3,267535.121079216,8447377673.46448,-0.01737012302284715,20515638.1320408,False,False,1.2147888375995186e-05,193613896.2758059,-2.4164912839166413e-07,,,,0.004946213720493065,,0.06801645189300892,0.12386607823328488,0.0959412650631469,-1.5335504998680376,0.0015422799832293607,13186522.50346618,1.0,0.21515141612200425,0.29144099536123586,0.333750883717083,0.19332161687170468,1.0,,,,,,
