day,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp,daily return,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,current_supply,daily excess return,volume,exclude_testing,exclude_training_and_testing,bm,size,illiq,capm beta,capm alpha,ivol,turnover,rvol,S Corwin Schultz,S Abdi Ranaldo,bid-ask,detrended turnover,standard deviation turnover,standard deviation volume,rel to high,max,volume shock 30,volume shock 60,r2_1,r7_2,r13_2,r22_2,r31_2,r30_14,r180_60,var_5
2018-04-25,1524614400,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-04-25 02:00:00,,0,2,2,2,1,1,0,1000000000.0,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
2018-04-26,1524700800,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-04-26 02:00:00,,1,5,3,4,3,4,0,4667000.0,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-10.125045399062024,0.0,0.0,,0.0,,,,,,,,,,
2018-04-27,1524787200,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-04-27 02:00:00,,1,8,3,4,3,7,0,100.0,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,
2018-04-28,1524873600,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-04-28 02:00:00,,3,43,35,37,54,61,0,275080.388888889,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,5.047293822697046,0.0,0.0,,0.0,,,,,,,,,,
2018-04-29,1524960000,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-04-29 02:00:00,,3,49,6,7,6,67,0,359999.333333333,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,
2018-04-30,1525046400,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-04-30 02:00:00,,5,61,12,20,24,91,0,652225.541666667,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,2.68405142733949,0.0,0.0,,0.0,,,,,,,,,,
2018-05-01,1525132800,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-01 02:00:00,,5,63,2,3,3,94,0,10000.0,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,4.23352533533042,0.0,0.0,,0.0,,,,,,,,,,
2018-05-02,1525219200,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-02 02:00:00,,8,107,44,58,80,174,0,137451.39054495,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.7450510572996549,0.0,0.0,,0.0,,,,,,,,,,
2018-05-03,1525305600,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-03 02:00:00,,9,158,51,66,71,245,0,59166.0070018997,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,5.06968892545893,0.0,0.0,,0.0,,,,,,,,,,
2018-05-04,1525392000,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-04 02:00:00,,15,193,35,53,54,299,0,47227.8181807074,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-5.543997344666881,0.0,0.0,,0.0,,,,,,,,,,
2018-05-05,1525478400,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-05 02:00:00,,14,212,19,42,46,345,0,38708.1507782502,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,1.086064478279436,0.0,0.0,,0.0,,,,,,,,,,
2018-05-06,1525564800,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-06 02:00:00,,17,224,12,23,26,371,0,36961.978569431,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-0.5328624357959875,0.0,0.0,,0.0,,,,,,,,,,
2018-05-07,1525651200,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-07 02:00:00,,19,229,5,20,15,386,0,28394.50006,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,2.379965039668619,0.0,0.0,,0.0,,,,,,,,,,
2018-05-08,1525737600,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-08 02:00:00,,19,234,5,17,13,399,0,5307.0,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-1.0128144966960981,0.0,0.0,,0.0,,,,,,,,,,
2018-05-09,1525824000,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-09 02:00:00,,20,237,3,8,8,407,0,4963.875,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.45289754166336493,0.0,0.0,,0.0,,,,,,,,,,
2018-05-10,1525910400,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-10 02:00:00,,20,252,15,25,27,434,0,25453.2222222222,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,1.646896605356666,0.0,0.0,,0.0,,,,,,,,,,
2018-05-11,1525996800,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-11 02:00:00,,23,257,5,16,12,446,0,21260.5024632307,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,1.7393168271986035,0.0,0.0,,0.0,,,,,,,,,,
2018-05-12,1526083200,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-12 02:00:00,,23,258,1,9,15,461,0,31050.3333333333,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-11.690058255882835,0.0,0.0,,0.0,,,,,,,,,,
2018-05-13,1526169600,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-13 02:00:00,,24,260,2,9,12,473,0,40182.5302997304,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-2.0884164915679975,0.0,0.0,,0.0,,,,,,,,,,
2018-05-14,1526256000,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-14 02:00:00,,25,263,3,9,9,482,0,54289.6666666667,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,4.737380652759342,0.0,0.0,,0.0,,,,,,,,,,
2018-05-15,1526342400,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-15 02:00:00,,25,266,3,16,20,502,0,42775.4,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-4.452467568184698,0.0,0.0,,0.0,,,,,,,,,,
2018-05-16,1526428800,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-16 02:00:00,,25,270,4,11,7,509,0,18159.0353571429,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.3685052369989599,0.0,0.0,,0.0,,,,,,,,,,
2018-05-17,1526515200,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-17 02:00:00,,27,274,4,11,12,521,0,3548.16666666667,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-2.043661354755031,0.0,0.0,,0.0,,,,,,,,,,
2018-05-18,1526601600,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-18 02:00:00,,27,276,2,9,5,526,0,26475.0,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,2.967768887696227,0.0,0.0,,0.0,,,,,,,,,,
2018-05-19,1526688000,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-19 02:00:00,,29,281,5,18,30,556,0,16138.5674494991,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,3.6040106719802463,0.0,0.0,,0.0,,,,,,,,,,
2018-05-20,1526774400,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-20 02:00:00,,30,293,12,23,25,581,0,94073.3856551957,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,8.319033601322298,0.0,0.0,,0.0,,,,,,,,,,
2018-05-21,1526860800,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-21 02:00:00,,31,296,3,12,13,594,0,3563.29751227711,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,6.911115324251028,0.0,0.0,,0.0,,,,,,,,,,
2018-05-22,1526947200,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-22 02:00:00,,31,301,5,14,10,604,0,38552.3000457739,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,5.479747125322751,0.0,0.0,,0.0,,,,,,,,,,
2018-05-23,1527033600,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-23 02:00:00,,32,304,3,12,9,613,0,3459.33333333333,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,4.101763053742346,0.0,0.0,,0.0,,,,,,,,,,
2018-05-24,1527120000,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-24 02:00:00,,32,309,5,11,14,627,0,1490.71837571429,1000000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-6.698029425022977,0.0,0.0,,0.0,,,,,,,,,,
2018-05-25,1527206400,0.0,0.0,0.0,0.0,0.0,0.0,direct,,2018-05-25 02:00:00,,33,312,3,12,11,638,0,5813.54545454545,1000000000.0,0.0,0.0,False,False,inf,0.0,,0.0,0.0,0.0,0.0,0.0,,,,-4.541639917216262,0.0,0.0,,0.0,,,,,,,,,,
