day,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp,daily return,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,current_supply,daily excess return,volume,exclude_testing,exclude_training_and_testing,bm,size,illiq,capm beta,capm alpha,ivol,turnover,rvol,S Corwin Schultz,S Abdi Ranaldo,bid-ask,detrended turnover,standard deviation turnover,standard deviation volume,rel to high,max,volume shock 30,volume shock 60,r2_1,r7_2,r13_2,r22_2,r31_2,r30_14,r180_60,var_5
2018-07-22,1532217600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-07-22 02:00:00,,0,1762,1762,1762,1761,1761,0,149960.600056197,264080616.698963,0.0,0.0,False,False,inf,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
2018-07-23,1532304000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-07-23 02:00:00,,4,5958,4196,4201,4204,5965,0,8037.80515944854,297727038.343605,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,6.20313880865749,0.0,0.0,,0.0,,,,,,,,,,
2018-07-24,1532390400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-07-24 02:00:00,,6,9096,3138,3152,3154,9119,0,1554.16226064273,302513139.113672,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,
2018-07-25,1532476800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-07-25 02:00:00,,15,9765,669,712,709,9828,0,60859.297192302,345325864.890502,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-14.70656720386335,0.0,0.0,,0.0,,,,,,,,,,
2018-07-26,1532563200,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-07-26 02:00:00,,16,9765,0,4,5,9833,0,2833.025,345325864.890502,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,
2018-07-27,1532649600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-07-27 02:00:00,,19,9767,2,6,3,9836,0,13199.6067579567,345325864.890502,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,2.097720317470305,0.0,0.0,,0.0,,,,,,,,,,
2018-07-28,1532736000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-07-28 02:00:00,,23,9770,3,10,6,9842,0,16980.614080385,345325864.890502,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,
2018-07-29,1532822400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-07-29 02:00:00,,28,9772,2,7,8,9850,0,13085.4409790359,345325864.890502,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,10.675235274895407,0.0,0.0,,0.0,,,,,,,,,,
2018-07-30,1532908800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-07-30 02:00:00,,28,9773,1,3,2,9852,0,6030.399606781,345325864.890502,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,11.546292210592375,0.0,0.0,,0.0,,,,,,,,,,
2018-07-31,1532995200,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-07-31 02:00:00,,31,9778,5,12,10,9862,0,7842.401874458,345325864.890502,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-0.7139669123105463,0.0,0.0,,0.0,,,,,,,,,,
2018-08-01,1533081600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-01 02:00:00,,37,9782,4,11,11,9873,0,18717.2883584536,345325864.890502,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-3.322659257628196,0.0,0.0,,0.0,,,,,,,,,,
2018-08-02,1533168000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-02 02:00:00,,42,9783,1,9,6,9879,0,6097.98357345667,345325864.890502,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,1.127785522806704,0.0,0.0,,0.0,,,,,,,,,,
2018-08-03,1533254400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-03 02:00:00,,44,9785,2,6,5,9884,0,45206.7300784214,345325864.890502,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,6.120186663301528,0.0,0.0,,0.0,,,,,,,,,,
2018-08-04,1533340800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-04 02:00:00,,52,9789,4,17,19,9903,0,24502.5915290853,345325864.890502,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.8790471558821018,0.0,0.0,,0.0,,,,,,,,,,
2018-08-05,1533427200,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-05 02:00:00,,53,9791,2,5,5,9908,0,26264.5185745798,345325864.890502,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,2.7277459174532233,0.0,0.0,,0.0,,,,,,,,,,
2018-08-06,1533513600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-06 02:00:00,,58,9795,4,13,11,9919,0,10335.9714464352,345325864.890502,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,7.206957843304551,0.0,0.0,,0.0,,,,,,,,,,
2018-08-07,1533600000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-07 02:00:00,,63,9797,2,8,6,9925,0,29782.3173514533,345325864.890502,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,5.773583832620165,0.0,0.0,,0.0,,,,,,,,,,
2018-08-08,1533686400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-08 02:00:00,,83,9824,27,66,43,9968,0,32373.8503993836,345325864.890502,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,1.1483136808998005,0.0,0.0,,0.0,,,,,,,,,,
2018-08-09,1533772800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-09 02:00:00,,97,9838,14,40,28,9996,0,206495.603024484,350000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-6.93791836963398,0.0,0.0,,0.0,,,,,,,,,,
2018-08-10,1533859200,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-10 02:00:00,,138,9851,13,69,61,10057,0,28624.224007127,350000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.19641488237095572,0.0,0.0,,0.0,,,,,,,,,,
2018-08-11,1533945600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-11 02:00:00,,144,9873,22,42,40,10097,0,45433.14083647,350000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-1.631473678776164,0.0,0.0,,0.0,,,,,,,,,,
2018-08-12,1534032000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-12 02:00:00,,147,9887,14,34,26,10123,0,186280.718580761,350000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.5735615801601988,0.0,0.0,,0.0,,,,,,,,,,
2018-08-13,1534118400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-13 02:00:00,,158,9903,16,45,37,10160,0,37322.1649156497,350000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,6.179542876292247,0.0,0.0,,0.0,,,,,,,,,,
2018-08-14,1534204800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-14 02:00:00,,169,9920,17,39,26,10186,0,51451.9313100736,350000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,3.737074423432281,0.0,0.0,,0.0,,,,,,,,,,
2018-08-15,1534291200,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-15 02:00:00,,177,9930,10,27,19,10205,0,83113.6877510408,350000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-7.553771007042322,0.0,0.0,,0.0,,,,,,,,,,
2018-08-16,1534377600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-16 02:00:00,,182,9939,9,27,27,10232,0,28877.9559284686,350000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-9.44264607485444,0.0,0.0,,0.0,,,,,,,,,,
2018-08-17,1534464000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-17 02:00:00,,187,9948,9,23,15,10247,0,57614.5360476822,350000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,3.9999577091491094,0.0,0.0,,0.0,,,,,,,,,,
2018-08-18,1534550400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-18 02:00:00,,189,9950,2,10,8,10255,0,11807.9126431487,350000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,2.3028751236680307,0.0,0.0,,0.0,,,,,,,,,,
2018-08-19,1534636800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-19 02:00:00,,191,9955,5,14,11,10266,0,15105.127865328,350000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,7.2807800176531785,0.0,0.0,,0.0,,,,,,,,,,
2018-08-20,1534723200,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-20 02:00:00,,197,9969,14,30,21,10287,0,271174.661043089,350000000.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,9.173651031044473,0.0,0.0,,0.0,,,,,,,,,,
2018-08-21,1534809600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-08-21 02:00:00,,207,9972,3,21,17,10304,0,14560.6636845794,350000000.0,0.0,0.0,False,False,inf,0.0,,0.0,0.0,0.0,0.0,0.0,,,,4.512618796702913,0.0,0.0,,0.0,,,,,,,,,,
2018-08-22,1534896000,0.01628,0.01501,0.01659,2015650.23,31172.36,0.01547,multiply,ETH,2018-08-22 02:00:00,inf,290,9980,8,103,95,10399,0,40850.2552833064,350000000.0,0.0,31182.1090581,False,False,0.001843198817988734,5414500.0,-8.64428834455366e-05,0.0,0.0,0.0,0.0,5.8931199225963514e-05,,0.0,0.0,4.202864803620722,0.0,5597.359877063671,,0.0,,,,,,,,,,
2018-08-23,1534982400,0.01752,0.01578,0.01546,1691504.71,27760.78,0.01641,multiply,ETH,2018-08-23 02:00:00,0.06076276664511959,349,9984,4,70,64,10463,0,23455.6051606256,350000000.0,0.04136276664511959,27757.5922911,False,False,0.0017383128754243928,5743500.0,-0.00010049680492069354,0.04702925110172883,0.0025263262163416973,0.00728299831682613,8.9091740166e-05,inf,0.037360521631979345,0.0,0.018680260815989672,-7.361755851956417,1.5992456791610493e-05,7364.354634029185,1.0,0.04136276664511959,0.7747416776711774,0.8656667909051142,1.0,,,,,,,
2018-08-24,1535068800,0.01854,0.01578,0.01641,750508.82,12796.94,0.01705,multiply,ETH,2018-08-24 02:00:00,0.039000609384521434,405,9991,7,73,67,10530,0,28074.4321536009,350000000.0,0.019500609384521434,12796.175381,False,False,0.0016742354419773775,5967500.0,-0.00025352716035351,0.09283966249860268,0.004129624466152234,0.007819201393712068,7.930740654600001e-05,inf,0.07132634480577085,0.06034404091156201,0.06583519285866643,5.304632218621114,2.1041013240083384e-05,7604.856838048677,1.0,0.04136276664511959,0.5924062499944732,0.684367923422361,0.05728214503351625,1.0,1.0,1.0,1.0,,,
2018-08-25,1535155200,0.0186,0.01674,0.01705,727754.19,13452.9,0.01849,multiply,ETH,2018-08-25 02:00:00,0.08445747800586512,532,9998,7,145,140,10670,0,29451.2346499614,350000000.0,0.06495747800586511,13456.174973099998,False,False,0.0015449277601792474,6471500.0,-0.00018367084963463707,0.22088380377915484,0.008940183338301445,0.013265184880308777,3.656050108857143e-05,inf,0.033965823173791515,0.31943529899555834,0.1767005610846749,2.8992300820080406,2.172816239442479e-05,7843.672075028758,1.0,0.06495747800586511,0.5739179267080992,0.6697437367410948,0.037536656891495546,1.0,1.0,1.0,1.0,,,
2018-08-26,1535241600,0.02525,0.01736,0.01849,111867.65,2824.58,0.02525,multiply,ETH,2018-08-26 02:00:00,0.36560302866414296,621,10000,2,102,102,10772,0,26447.3753891018,350000000.0,0.34610302866414294,2824.6581625,False,False,0.0011315417256011315,8837500.0,-0.0003562226285298904,0.30999194439574007,0.022265618531127043,0.062468005527694916,3.844621420885714e-05,inf,0.13510849206823541,0.39459586368100347,0.26485217787461945,7.392437251046632,2.241049164293931e-05,7825.952389922051,1.0,0.34610302866414294,0.37868839950798405,0.4767789393210454,0.07787993510005409,1.0,1.0,1.0,1.0,,,
2018-08-27,1535328000,0.02651,0.01807,0.02525,598032.08,11161.49,0.01866,multiply,ETH,2018-08-27 02:00:00,-0.2609900990099011,734,10008,8,142,137,10909,0,28626.7997424659,350000000.0,-0.2805900990099011,11159.278612799999,False,False,0.0015323840146991272,6531000.0,-0.00012037272782724339,0.12416225168263256,0.009259965612990025,0.08145916111069451,8.070451892857143e-06,inf,0.16888829077768003,0.13550460559700717,0.1521964481873436,6.885071172201966,2.2359863971205864e-05,7942.006969136391,1.0,0.34610302866414294,0.5283918949338796,0.631650924806178,0.26772277227722774,1.0,1.0,1.0,1.0,,,
2018-08-28,1535414400,0.02223,0.01915,0.01866,2169022.04,45194.34,0.02084,multiply,ETH,2018-08-28 02:00:00,0.11682743837084675,807,10016,8,93,89,10998,0,18181.9973283664,350000000.0,0.09722743837084674,45202.4193136,False,False,0.0013731834384425555,7294000.0,-4.7498725758959927e-05,0.34288043818703445,0.017271368227560414,0.08286722301179303,3.188365317942857e-05,inf,0.06053443063552802,0.006526372355394655,0.03353040149546134,1.9210944497438884,2.2691448483246824e-05,10906.49351106446,0.7390099009900989,0.34610302866414294,0.6700113783004217,0.7782443843057147,-0.3531618435155415,1.0,1.0,1.0,1.0,,,
2018-08-29,1535500800,0.02252,0.02021,0.02084,221225.5,4725.73,0.02136,multiply,ETH,2018-08-29 02:00:00,0.0249520153550864,843,10022,6,59,53,11051,0,11676.3305201055,350000000.0,0.0052520153550864,4725.37668,False,False,0.0013405564472980204,7476000.0,-0.0007810595713804194,0.32406615881018486,0.016624359677351735,0.08290479650141123,0.00012914976946742858,inf,0.05798187488935432,0.006526372355394655,0.03225412362237449,-0.9264621022246011,3.1161410031612744e-05,10869.91271926102,0.8253465346534653,0.34610302866414294,0.3638660871679072,0.4687941503438096,0.10460652591170827,0.17095391211146838,1.0,1.0,1.0,,,
2018-08-30,1535587200,0.02212,0.01978,0.02136,2087833.84,43901.09,0.02103,multiply,ETH,2018-08-30 02:00:00,-0.015449438202247201,875,10036,14,61,51,11102,0,36522.0859644023,350000000.0,-0.035149438202247196,43907.1456552,False,False,0.0013634943278309898,7360500.0,-9.497731124135877e-05,0.2797353299391403,0.014866580290683036,0.08322961910813555,1.3501076228571429e-05,inf,0.031227242963270934,0.013292434920211933,0.022259838941741432,3.205757071111016,3.105689348360291e-05,12873.458693279399,0.8459405940594059,0.34610302866414294,0.6003848678871984,0.7114356125416261,0.02434456928838946,0.2125719769673704,1.0,1.0,1.0,,,
2018-08-31,1535673600,0.02486,0.02048,0.02103,2131238.0,44481.08,0.02087,multiply,ETH,2018-08-31 02:00:00,-0.007608178792201659,906,10047,11,55,47,11149,0,25392.9477142592,350000000.0,-0.02710817879220166,44478.93706,False,False,0.0013754534875761518,7304500.0,-0.00010968183540182184,0.32488541794139425,0.014172697864317515,0.08346682648191994,0.0001254489875862857,inf,0.004720661216818257,0.017681483804407518,0.011201072510612888,0.1779533964573723,3.678131055222685e-05,14505.033695100172,0.8328712871287128,0.34610302866414294,0.5637437494650294,0.6754995533479847,-0.015691868758915817,0.20177902621722854,1.0,1.0,1.0,,,
2018-09-01,1535760000,0.02215,0.0213,0.02087,2486932.75,53988.72,0.02171,multiply,ETH,2018-09-01 02:00:00,0.04024916147580271,941,10052,5,45,39,11188,0,25092.0344225332,350000000.0,0.02074916147580271,53991.3100025,False,False,0.0013228926761860893,7598500.0,-5.9503392454917755e-05,0.3335060190773088,0.014894318679339234,0.08352114480048613,0.0001270826773142857,inf,0.01886242459269359,0.023912678364715154,0.021387551478704372,2.9253326799842387,4.144295341457192e-05,16608.177680510053,0.8265346534653465,0.34610302866414294,0.5553071926535128,0.6684570838440305,-0.007666506947771934,0.12077983832620065,1.0,1.0,1.0,,,
2018-09-02,1535846400,0.02251,0.02121,0.02171,1526736.4,33916.46,0.02222,multiply,ETH,2018-09-02 02:00:00,0.023491478581298963,978,10058,6,48,43,11231,0,40420.049342283,350000000.0,0.0039914785812989635,33924.082808,False,False,0.0012933007586472933,7777000.0,-0.00011057388222945187,0.30356212406045224,0.014490180646469173,0.08350294652288283,0.00015426088572142858,inf,0.014141763375875336,0.07751314740300771,0.045827455389441524,4.48778621638548,4.745193623002872e-05,17056.976563313496,0.8598019801980198,0.34610302866414294,0.4786696649376874,0.5920308236544224,0.038691847075080665,-0.20987062769525644,1.0,1.0,1.0,,,
2018-09-03,1535932800,0.02199,0.01901,0.02222,675220.78,13346.11,0.01977,multiply,ETH,2018-09-03 02:00:00,-0.11026102610261035,998,10069,11,37,27,11258,0,145540.057107717,350000000.0,-0.12976102610261034,13349.1148206,False,False,0.0014551629452995158,6919500.0,-0.00016517235706537612,0.11216166218682988,0.006652844957785425,0.08749123751950556,9.692595088e-05,inf,0.014029916490176573,0.05798951792248815,0.036009717206332365,-0.5441704747613052,4.873421875232426e-05,16941.940965273076,0.88,0.34610302866414294,0.3703465698694328,0.48450746825517327,0.022952295229522912,0.14048825426070943,1.0,1.0,1.0,,,
2018-09-04,1536019200,0.02031,0.01914,0.01977,1440124.09,28794.74,0.01999,multiply,ETH,2018-09-04 02:00:00,0.011127971674254056,1020,10072,3,29,26,11284,0,18443.31077743,350000000.0,-0.008872028325745945,28788.080559100003,False,False,0.0014395769313228042,6996500.0,-0.000156255411352542,0.21619211529368879,0.007298365509365587,0.08743454403365714,3.814032805885714e-05,inf,0.014029916490176573,0.07541491479323872,0.04472241564170765,4.135094480115358,4.8405545615065926e-05,17089.831438142548,0.7829702970297029,0.34610302866414294,0.4453976620494574,0.5631640988844674,-0.12392513909964586,0.06210621062106203,0.3037803780378038,1.0,1.0,,,
2018-09-05,1536105600,0.01872,0.01511,0.01999,1243546.09,20296.3,0.01632,multiply,ETH,2018-09-05 02:00:00,-0.18359179589794894,1071,10700,628,721,80,11364,0,24472.0076738716,350000000.0,-0.20359179589794893,20294.672188800003,False,False,0.001873249299719888,5712000.0,-8.352145187056877e-05,1.0184101113260997,0.012912193037437176,0.09459276491906402,8.225165874028572e-05,inf,0.07290843590756202,0.07541491479323872,0.07416167535040037,2.618190692497839,4.8828089823264414e-05,16992.87874667495,0.7916831683168317,0.34610302866414294,0.400761192011652,0.5200823062662181,0.011005502751375795,-0.08042488619119892,0.16995447647951434,1.0,1.0,1.0,,
2018-09-06,1536192000,0.01949,0.01547,0.01632,2328183.06,39542.98,0.01698,multiply,ETH,2018-09-06 02:00:00,0.04044117647058809,1154,10718,18,122,104,11468,0,59334.0256897601,350000000.0,0.020641176470588093,39532.5483588,False,False,0.0018034662628302208,5942999.999999999,-8.114596520270988e-05,0.6260065581291461,0.008078818433268884,0.09522923698738063,5.798477768228572e-05,inf,0.11206409702666469,0.02234210452425254,0.06720310077545862,-11.609653706785247,4.8551082133357004e-05,17465.50900425842,0.6463366336633664,0.34610302866414294,0.46393004458252785,0.5863183194745155,-0.22487745098039214,-0.05202601300650311,0.1470735367683843,1.0,1.0,1.0,,
2018-09-07,1536278400,0.01807,0.01592,0.01699,2247417.61,39551.07,0.0176,multiply,ETH,2018-09-07 02:00:00,0.03651354534746787,1183,10726,8,48,38,11506,0,20455.001843222,350000000.0,0.01671354534746787,39554.549936,False,False,0.0017412337662337663,6160000.0,-8.410969819860533e-05,0.7068230543162292,0.009377278658422392,0.09524153572061222,0.000112950138168,inf,0.03915566111910267,0.09205053609466887,0.06560309860688576,-14.413333609230925,4.9901454297881204e-05,17829.53492643173,0.6724752475247524,0.34610302866414294,0.4527470990666548,0.576555773557892,0.03886925795052987,-0.2787990196078429,-0.13296568627450966,1.0,1.0,1.0,,
2018-09-08,1536364800,0.01692,0.01535,0.0176,2614036.25,40120.39,0.01535,multiply,ETH,2018-09-08 02:00:00,-0.12784090909090906,1264,10732,6,95,87,11593,0,18135.7099980249,350000000.0,-0.14764090909090904,40125.456437500005,False,False,0.0019975802698929735,5372500.0,-5.126343395075747e-05,1.0629368694200938,0.010856460750648915,0.09792820571316102,0.00011301299981714286,inf,0.0,0.09762537159059087,0.048812685795295435,2.6411857748542165,5.09415283612335e-05,18114.55842164171,0.697029702970297,0.34610302866414294,0.4442140416491044,0.5694004917698572,0.035227272727272885,-0.2785630153121321,-0.4870435806831568,1.0,1.0,1.0,,
2018-09-09,1536451200,0.01605,0.01411,0.01535,2563402.04,38182.49,0.0149,multiply,ETH,2018-09-09 02:00:00,-0.02931596091205213,1345,10742,10,94,84,11677,0,23527.7631192295,350000000.0,-0.04911596091205213,38194.690396,False,False,0.0020598274209012463,5215000.0,-9.241135701470754e-05,1.156585556324025,0.009945894026142843,0.09799260644568639,0.00011464416125000002,inf,0.016448439973242347,0.02791694002017455,0.02218268999670845,3.5963615217965987,5.175588120469061e-05,18223.808899572625,0.6079207920792079,0.34610302866414294,0.430057081656876,0.5564639581747116,-0.14657980456026065,-0.26249999999999996,-0.060227272727272574,1.0,1.0,1.0,,
2018-09-10,1536537600,0.01506,0.01406,0.0149,1418349.44,20663.43,0.01457,multiply,ETH,2018-09-10 02:00:00,-0.022147651006711455,1373,10748,6,40,32,11709,0,24289.0946790325,350000000.0,-0.04194765100671145,20665.3513408,False,False,0.0021076576134915186,5099500.0,-0.00018436772618285078,1.1123994966160455,0.007708101494389256,0.09829070475453645,0.00010912768684571428,inf,0.016448439973242347,0.044421640490561604,0.030435040231901973,6.148694051475106,5.206802542735034e-05,17911.69085342464,0.5900990099009901,0.34610302866414294,0.35978031835031726,0.48686783910727716,-0.030201342281879207,-0.28794788273615635,-0.3576547231270357,1.0,1.0,1.0,,
2018-09-11,1536624000,0.01444,0.01166,0.01457,1673605.75,21380.9,0.01278,multiply,ETH,2018-09-11 02:00:00,-0.12285518188057654,1380,43122,32374,32430,186,11895,0,10344.0642904663,349999999.999999,-0.14305518188057653,21388.681485,False,False,0.009640509725016795,4472999.999999987,-9.803077397851341e-05,0.9902875327996856,0.0014131400573247097,0.10148404124503228,5.904386097371446e-05,inf,0.023331995189137856,0.06526112850372832,0.04429656184643309,2.854488052675915,5.1176259581213254e-05,17569.053342195122,0.577029702970297,0.34610302866414294,0.3601293622903683,0.48894679818494696,-0.02264927934111194,-0.3416107382550335,-0.43355704697986575,1.0,1.0,1.0,,
2018-09-12,1536710400,0.01318,0.01201,0.01278,2900535.17,36100.18,0.01245,multiply,ETH,2018-09-12 02:00:00,-0.025821596244131495,1389,60697,17575,17617,104,11999,0,3607.12712615385,349999999.999997,-0.04592159624413149,36111.662866499995,False,False,0.013929317269076424,4357499.999999963,-0.00010125659643502861,0.9733698520559102,3.46773584594316e-05,0.10165479255229125,6.111051852857196e-05,inf,0.023331995189137856,0.02083948801316672,0.022085741601152287,2.758256038933064,5.019729526341466e-05,17423.016112696645,0.5061386138613861,0.34610302866414294,0.4106323924310115,0.5413688180614081,-0.1400625978090766,-0.12010981468771464,-0.4433768016472204,1.0,1.0,1.0,,
2018-09-13,1536796800,0.01437,0.01268,0.01245,2557636.52,32421.11,0.01268,multiply,ETH,2018-09-13 02:00:00,0.01847389558232937,1396,66502,5805,5828,59,12058,0,215930.766053995,349999999.999996,-0.001626104417670627,32430.831073600002,False,False,0.014984677782785208,4437999.99999995,-0.00012307413843053847,0.9540571867375824,-0.0001663952602392524,0.1016717178580477,0.0001031761796185726,inf,0.0,0.09821622318848741,0.049108111594243706,2.6952969148641372,4.978004603627616e-05,17103.311359099924,0.493069306930693,0.34610302866414294,0.3938642294036458,0.5254952162602409,-0.026506024096385472,-0.328638497652582,-0.6330203442879498,-0.21048513302034433,1.0,1.0,,
2018-09-14,1536883200,0.01339,0.0117,0.01268,3360547.26,39307.38,0.0117,multiply,ETH,2018-09-14 02:00:00,-0.07728706624605675,1400,69907,3405,3419,31,12089,0,18212.8972419355,349999999.999997,-0.09748706624605674,39318.402942,False,False,0.017071306471306617,4094999.999999965,-6.511527592062388e-05,0.96574211538013,-0.0029624494848755605,0.10268095913540977,9.265951735314365e-05,inf,0.0,0.1554037004780212,0.0777018502390106,-0.8834454871198965,4.886660388314267e-05,16882.92587489201,0.5021782178217822,0.34610302866414294,0.4091677453069143,0.5417502745678653,0.018138801261829762,-0.41365461847389584,-0.7437751004016064,-0.31807228915662655,1.0,1.0,,
