day,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp,daily return,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,current_supply,daily excess return,volume,exclude_testing,exclude_training_and_testing,bm,size,illiq,capm beta,capm alpha,ivol,turnover,rvol,S Corwin Schultz,S Abdi Ranaldo,bid-ask,detrended turnover,standard deviation turnover,standard deviation volume,rel to high,max,volume shock 30,volume shock 60,r2_1,r7_2,r13_2,r22_2,r31_2,r30_14,r180_60,var_5
2017-12-15,1513296000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-12-15 01:00:00,,0,616,616,616,526,526,0,1070964.92813192,499999999.96,0.0,0.0,False,False,inf,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
2017-12-16,1513382400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-12-16 01:00:00,,322,1231,615,962,1357,1883,0,98968.6392376318,499999999.96,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-11.502327787998041,0.0,0.0,,0.0,,,,,,,,,,
2017-12-17,1513468800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-12-17 01:00:00,,408,1389,158,330,358,2241,0,61130.5695448323,499999999.96,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,
2017-12-18,1513555200,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-12-18 01:00:00,,447,1461,72,188,215,2456,0,217170.364635168,499999999.96,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,6.546845264364208,0.0,0.0,,0.0,,,,,,,,,,
2017-12-19,1513641600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-12-19 01:00:00,,476,1501,40,138,162,2618,0,84873.9984016496,499999999.96,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,
2017-12-20,1513728000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-12-20 01:00:00,,496,1547,46,140,138,2756,0,78232.9439921837,499999999.96,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-10.891962972724315,0.0,0.0,,0.0,,,,,,,,,,
2017-12-21,1513814400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-12-21 01:00:00,,522,1613,66,145,141,2897,0,64288.6162911355,499999999.96,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-43.018575148464365,0.0,0.0,,0.0,,,,,,,,,,
2017-12-22,1513900800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-12-22 01:00:00,,533,1647,34,90,98,2995,0,65307.605749303,499999999.96,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,7.23663261551404,0.0,0.0,,0.0,,,,,,,,,,
2017-12-23,1513987200,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-12-23 01:00:00,,547,1679,32,85,93,3088,0,74422.9414644313,499999999.96,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-121.78389437786252,0.0,0.0,,0.0,,,,,,,,,,
2017-12-24,1514073600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-12-24 01:00:00,,562,1694,15,62,76,3164,0,83775.2662598965,499999999.96,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,8.002681173675853,0.0,0.0,,0.0,,,,,,,,,,
2017-12-25,1514160000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-12-25 01:00:00,,589,1732,38,105,122,3286,0,75013.2977748158,499999999.96,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,8.140425445799224,0.0,0.0,,0.0,,,,,,,,,,
2017-12-26,1514246400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-12-26 01:00:00,,746,2116,384,655,647,3933,0,94716.8185708059,499999999.96,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,34.17966068222135,0.0,0.0,,0.0,,,,,,,,,,
2017-12-27,1514332800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-12-27 01:00:00,,947,2800,684,1062,1200,5133,0,41482.2846466137,499999999.96,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,4.603239591271176,0.0,0.0,,0.0,,,,,,,,,,
