day,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp,daily return,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,current_supply,daily excess return,volume,exclude_testing,exclude_training_and_testing,bm,size,illiq,capm beta,capm alpha,ivol,turnover,rvol,S Corwin Schultz,S Abdi Ranaldo,bid-ask,detrended turnover,standard deviation turnover,standard deviation volume,rel to high,max,volume shock 30,volume shock 60,r2_1,r7_2,r13_2,r22_2,r31_2,r30_14,r180_60,var_5
2017-10-15,1508025600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-10-15 02:00:00,,0,696,696,696,788,788,0,1109.53975888325,874317.33,0.0,0.0,False,False,inf,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
2017-10-16,1508112000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-10-16 02:00:00,,0,900,204,223,243,1031,0,479.864882304527,990924.4964,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-4.336379487833501,0.0,0.0,,0.0,,,,,,,,,,
2017-10-17,1508198400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-10-17 02:00:00,,0,1091,191,213,234,1265,0,792.597991452991,1176392.4264,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.580729861743519,0.0,0.0,,0.0,,,,,,,,,,
2017-10-18,1508284800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-10-18 02:00:00,,0,1251,160,177,273,1538,0,381.312564102564,1280490.7564,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,4.04601455696174,0.0,0.0,,0.0,,,,,,,,,,
2017-10-19,1508371200,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-10-19 02:00:00,,0,1319,68,73,89,1627,0,642.568426966292,1337679.3464,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-7.8464864420625915,0.0,0.0,,0.0,,,,,,,,,,
2017-10-20,1508457600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-10-20 02:00:00,,0,1374,55,62,64,1691,0,395.30125,1362978.6264,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,1.732532921365852,0.0,0.0,,0.0,,,,,,,,,,
2017-10-21,1508544000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-10-21 02:00:00,,0,1420,46,57,61,1752,0,357.76868852459,1384802.5164,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-7.353391410846353,0.0,0.0,,0.0,,,,,,,,,,
2017-10-22,1508630400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-10-22 02:00:00,,0,1462,42,45,47,1799,0,178.131276595745,1393174.6864,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-3.3841960231220725,0.0,0.0,,0.0,,,,,,,,,,
2017-10-23,1508716800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-10-23 02:00:00,,0,1508,46,52,54,1853,0,346.292407407407,1411874.4764,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,
2017-10-24,1508803200,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-10-24 02:00:00,,0,1609,101,107,111,1964,0,323.936756756757,1447831.4564,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-4.111901491507819,0.0,0.0,,0.0,,,,,,,,,,
2017-10-25,1508889600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-10-25 02:00:00,,0,1691,82,92,101,2065,0,428.70198019802,1491130.3564,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-4.677699244160934,0.0,0.0,,0.0,,,,,,,,,,
2017-10-26,1508976000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-10-26 02:00:00,,0,1752,61,68,74,2139,0,286.312432432432,1512317.4764,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,1.181265140902724,0.0,0.0,,0.0,,,,,,,,,,
2017-10-27,1509062400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-10-27 02:00:00,,0,1795,43,51,55,2194,0,743.798,1553226.3664,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,2.306204363347778,0.0,0.0,,0.0,,,,,,,,,,
2017-10-28,1509148800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-10-28 02:00:00,,0,1829,34,37,39,2233,0,10693.5584615385,1970275.1464,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,4.289514846299738,0.0,0.0,,0.0,,,,,,,,,,
